[2026-05-28T05:08:54.813Z] GET file:///C:/Users/cncn0/AppData/Local/Temp/variant-C.html → 200 (25ms, 8937B)
[2026-05-28T05:08:54.868Z] GET https://fonts.googleapis.com/css2?family=Playfair+Display:wght@300;400&family=Noto+Serif+KR:wght@200;300;400&family=Noto+Sans+KR:wght@200;300;400&display=swap → pending (?ms, ?B)
[2026-05-28T05:08:58.336Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5CgmG0X7t.woff2 → pending (?ms, ?B)
[2026-05-28T05:08:58.336Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.117.woff2 → pending (?ms, ?B)
[2026-05-28T05:08:58.338Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.119.woff2 → pending (?ms, ?B)
[2026-05-28T05:08:58.338Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFvD-vYSZviVYUb_rj3ij__anPXJzDwcbmjWBN2PKdFvXDXbtM.woff2 → pending (?ms, ?B)
[2026-05-28T05:08:58.338Z] GET https://fonts.gstatic.com/s/notoserifkr/v31/3Jn7SDn90Gmq2mr3blnHaTZXduUBwuF9Wxop-KlAZIoTrf6uFZh_9Q.117.woff2 → pending (?ms, ?B)
[2026-05-28T05:08:58.338Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.118.woff2 → pending (?ms, ?B)
[2026-05-28T05:08:58.338Z] GET https://fonts.gstatic.com/s/notoserifkr/v31/3Jn7SDn90Gmq2mr3blnHaTZXduUBwuF9Wxop-KlAZIoTrf6uFZh_9Q.119.woff2 → pending (?ms, ?B)
[2026-05-28T05:08:58.338Z] GET https://fonts.gstatic.com/s/notoserifkr/v31/3Jn7SDn90Gmq2mr3blnHaTZXduUBwuF9Wxop-KlAZIoTrf6uFZh_9Q.116.woff2 → pending (?ms, ?B)
[2026-05-28T05:08:58.339Z] GET https://fonts.gstatic.com/s/notoserifkr/v31/3Jn7SDn90Gmq2mr3blnHaTZXduUBwuF9Wxop-KlAZIoTrf6uFZh_9Q.104.woff2 → pending (?ms, ?B)
[2026-05-28T05:08:58.339Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.116.woff2 → pending (?ms, ?B)
[2026-05-28T05:08:58.339Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.115.woff2 → 200 (271ms, 16272B)
[2026-05-28T05:08:58.339Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.113.woff2 → pending (?ms, ?B)
[2026-05-28T05:08:58.339Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.112.woff2 → pending (?ms, ?B)
[2026-05-28T05:08:58.339Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.104.woff2 → pending (?ms, ?B)
[2026-05-28T05:11:37.279Z] GET file:///C:/Users/cncn0/AppData/Local/Temp/handdam-variant-a.html → 200 (17ms, 37736B)
[2026-05-28T05:11:37.453Z] GET file:///C:/Users/cncn0/AppData/Local/Temp/handdam-variant-a.html → 200 (1ms, 37736B)
[2026-05-28T05:17:43.239Z] GET file:///C:/Users/cncn0/AppData/Local/Temp/handdam-challenge.html → 200 (20ms, 39723B)
